sbi08,omschr,sectie,afdeling,sbi08_3,sbi08_4,sector
2593,Vervaardiging van artikelen van draad en van kettingen,C,25,259,2593,02
2594,"Vervaardiging van bouten, schroeven en moeren",C,25,259,2594,02
2599,Vervaardiging van overige producten van metaal (rest),C,25,259,2599,02
2611,Vervaardiging van elektronische componenten,C,26,261,2611,02
2612,Vervaardiging van elektronische printplaten,C,26,261,2612,02
2620,Vervaardiging van computers en randapparatuur,C,26,262,2620,02
2630,Vervaardiging van communicatieapparatuur,C,26,263,2630,02
2640,Vervaardiging van consumentenelektronica,C,26,264,2640,02
2651,"Vervaardiging van meet-, regel-, navigatie- en controleapp.",C,26,265,2651,02
2652,Vervaardiging van uurwerken,C,26,265,2652,02
2660,Vervaardiging van bestralingsapparatuur e.d.,C,26,266,2660,02
2670,Vervaardiging van optische instrumenten en apparatuur,C,26,267,2670,02
2680,Vervaardiging van informatiedragers,C,26,268,2680,02
2711,"Vervaardiging van elektromotoren, elektrische generatoren",C,27,271,2711,02
2712,Vervaardiging van schakel- en verdeelinrichtingen,C,27,271,2712,02
2720,Vervaardiging van batterijen en accumulatoren,C,27,272,2720,02
2731,Vervaardiging van kabels van optische vezels,C,27,273,2731,02
2732,"Vervaardiging van overige elektrische, elektronische kabels",C,27,273,2732,02
2733,"Vervaardiging van schakelaars, stekkers, stopcontacten e.d.",C,27,273,2733,02
2740,"Vervaardiging van elektrische lampen, verlichtingsapparaten",C,27,274,2740,02
2751,Vervaardiging van elektrische huishoudapparaten,C,27,275,2751,02
2752,Vervaardiging van niet-elektrische huishoudapparaten,C,27,275,2752,02
2790,Vervaardiging van overige elektrische apparatuur,C,27,279,2790,02
2811,"Vervaardiging van motoren, turbines (niet voor vliegtuigen)",C,28,281,2811,02
2812,Vervaardiging van hydraulische apparatuur,C,28,281,2812,02
2813,Vervaardiging van niet-hydraulische pompen en compressoren,C,28,281,2813,02
2814,Vervaardiging van appendages,C,28,281,2814,02
2815,"Vervaardiging van tandwielen, lagers e.d.",C,28,281,2815,02
2821,Vervaardiging van industriële ovens en branders,C,28,282,2821,02
2822,"Vervaardiging van hijs-, hef- en transportwerktuigen",C,28,282,2822,02
2823,Vervaardiging van kantoormachines en -apparatuur,C,28,282,2823,02
2824,Vervaardiging van pneumatisch en elektrisch handgereedschap,C,28,282,2824,02
2825,"Vervaardiging v. machines, app. voor industriële koeling",C,28,282,2825,02
2829,Vervaardiging van overige machines en apparaten,C,28,282,2829,02
2830,"Vervaardiging van machines, werktuigen voor land- en bosb.",C,28,283,2830,02
2841,Vervaardiging v. gereedschapswerktuigen voor metaalbewerking,C,28,284,2841,02
2849,Vervaardiging v. gereedschapswerktuigen niet voor metaalbew.,C,28,284,2849,02
2891,Vervaardiging van machines voor de metallurgie,C,28,289,2891,02
2892,Vervaardiging v. machines voor de bouw en winning v. delfst.,C,28,289,2892,02
2893,Vervaardiging van machines voor de productie van v&g.,C,28,289,2893,02
2894,"Vervaardiging v. machines voor de prod. van textiel, kleding",C,28,289,2894,02
2895,Vervaardiging van machines voor de productie van papier,C,28,289,2895,02
2896,Vervaardiging v. machines voor de kunststof- en rubberindus.,C,28,289,2896,02
2899,"Vervaardiging van overige machines, apparaten en werktuigen",C,28,289,2899,02
2910,Vervaardiging van auto's,C,29,291,2910,02
29201,Carrosseriebouw,C,29,292,2920,02
