SBI08_5,Omschrijving
4652,4652: Groothandel in elektronische en telecommunicatieapparatuur en bijbehorende onderdelen
4661,"4661: Groothandel in landbouwmachines, werktuigen en tractoren"
4662,4662: Groothandel in gereedschapswerktuigen
4663,4663: Groothandel in machines voor de bouw
4664,4664: Groothandel in machines voor de textielindustrie en in naai- en breimachines
4665,4665: Groothandel in bedrijfsmeubels
4666,4666: Groothandel in kantoormachines (geen computers)
46681,46681: Groothandel in machines voor de grafische industrie
46682,46682: Groothandel in machines voor de voedings- en genotmiddelenindustrie
46691,46691: Groothandel in intern transportmaterieel
46692,"46692: Groothandel in machines en apparaten voor de warmte-, koel- en vriestechniek"
46693,"46693: Groothandel in verbrandingsmotoren, pompen en compressoren"
46694,"46694: Groothandel in appendages, technische toebehoren e.d."
46695,46695: Groothandel in meet- en regelapparaten
46696,46696: Groothandel in emballage
46697,46697: Groothandel in scheepsbenodigdheden en visserij-artikelen
46699,"46699: Groothandel in overige machines, apparaten en toebehoren voor industrie en handel (rest)"
46711,46711: Groothandel in vaste brandstoffen
46712,46712: Groothandel in vloeibare en gasvormige brandstoffen
46713,46713: Groothandel in minerale olieproducten (geen brandstoffen)
46721,46721: Groothandel in metaalertsen
46722,46722: Groothandel in ferrometalen en -halffabrikaten
46723,46723: Groothandel in non-ferrometalen en -halffabrikaten
46731,46731: Groothandel in hout en plaatmateriaal
46732,46732: Groothandel in verf en verfwaren
46733,46733: Groothandel in behang
46734,46734: Groothandel in vlakglas
46735,46735: Groothandel in zand en grind
46736,46736: Groothandel in tegels en plavuizen
46737,46737: Groothandel in sanitaire artikelen en sanitair installatiemateriaal
46738,46738: Groothandel gespecialiseerd in overige bouwmaterialen
46739,46739: Groothandel in bouwmaterialen algemeen assortiment
46741,46741: Groothandel in ijzer- en metaalwaren
46742,46742: Groothandel in verwarmingsapparaten
46751,46751: Groothandel in chemische grondstoffen en chemicaliën voor industriële toepassing
46752,46752: Groothandel in bestrijdingsmiddelen en meststoffen
46761,46761: Groothandel in textielgrondstoffen en -halffabrikaten
46762,46762: Groothandel in papier en karton
46769,46769: Groothandel in overige intermediaire producten (rest)
46771,46771: Groothandel in autosloopmateriaal
46772,46772: Groothandel in ijzer- en staalschroot en oude non-ferrometalen
46779,46779: Groothandel in overige oude materialen en afvalstoffen
46901,46901: Niet-gespecialiseerde groothandel in consumentenartikelen
46902,46902: Niet-gespecialiseerde groothandel in niet-consumentenartikelen
4711,4711: Supermarkten en dergelijke winkels met een algemeen assortiment voedings- en genotmiddelen
47191,47191: Warenhuizen
47192,47192: Winkels met een algemeen assortiment non-food (geen warenhuizen)
4721,"4721: Winkels in aardappelen, groenten en fruit"
47221,47221: Winkels in vlees en vleeswaren
47222,47222: Winkels in wild en gevogelte
4723,4723: Winkels in vis
47241,47241: Winkels in brood en banket
47242,47242: Winkels in chocolade en suikerwerk
4725,4725: Winkels in dranken
4726,4726: Winkels in tabaksproducten
47291,47291: Winkels in kaas
47292,47292: Winkels in natuurvoeding en reformartikelen
47293,47293: Winkels in buitenlandse voedingsmiddelen
47299,47299: Gespecialiseerde winkels in overige voedings- en genotmiddelen (rest)
4730,4730: Benzinestations
4741,"4741: Winkels in computers, randapparatuur en software"
4742,4742: Winkels in telecommunicatieapparatuur
47431,47431: Winkels in audio- en videoapparatuur
47432,47432: Winkels in een algemeen assortiment van wit- en bruingoed
47511,47511: Winkels in kledingstoffen
47512,47512: Winkels in huishoudtextiel
